ETHUSDT|orderflow|long|TIMEOUT|overnight|trending_bull|1|0.000|-0.694|-1.5459|1.15|0.05|2.78|3617737
ETHUSDT|orderflow|long|TIMEOUT|asian|trending_bear|1|0.000|-0.853|-1.5028|1.27|0.05|1.53|3627827
ETHUSDT|orderflow|short|TIMEOUT|us_main|na|97|0.598|-0.003|-1.4066|3.40|0.05|1.34|3585313
SOLUSDT|orderflow|long|INITIAL_SL|asian|range|6|0.000|-0.221|-1.3274|1.69|1.17|1.35|1597835
SOLUSDT|orderflow|short|INITIAL_SL|asian|trending_bear|6|0.000|-0.219|-1.3158|3.41|1.18|1.97|1104219
SOLUSDT|orderflow|short|INITIAL_SL|overnight|range|6|0.000|-0.208|-1.2453|3.41|1.18|1.13|1729959
SOLUSDT|orderflow|short|INITIAL_SL|asian|range|4|0.000|-0.267|-1.0669|3.71|1.18|1.34|889968
ETHUSDT|orderflow|long|TIMEOUT|asian|range|4|0.500|-0.106|-1.0132|3.15|0.05|2.15|3611739
1000PEPEUSDT|cryptoorderflow|short|TIMEOUT|us_main|na|2|0.500|-0.101|-1.0107|0.00|0.27|0.54|3616588
BTCUSDT|orderflow|long|INITIAL_SL|overnight|trending_bear|1|0.000|-0.992|-0.9924|3.27|0.01|0.26|2765613
BTCUSDT|orderflow|long|TIMEOUT|overnight|trending_bear|2|0.000|-0.350|-0.9699|3.30|0.01|0.28|3628185
BTCUSDT|orderflow|long|TIMEOUT|overnight|range|7|0.429|-0.099|-0.9614|2.08|0.01|0.50|3609516
SOLUSDT|orderflow|long|INITIAL_SL|asian|trending_bull|5|0.000|-0.192|-0.9583|2.13|1.17|2.21|1441336
ETHUSDT|orderflow|short|TIMEOUT|asian|trending_bear|1|0.000|-0.555|-0.8807|1.93|0.05|1.53|3601869
ETHUSDT|orderflow|long|TIMEOUT|overnight|trending_bear|2|0.500|-0.271|-0.8680|2.00|0.05|2.06|3608804
SOLUSDT|orderflow|short|INITIAL_SL|asian|expansion|4|0.000|-0.213|-0.8515|0.82|1.18|1.87|1111662
